FOLIO8,UNIT_COUNT,LEGAL_LINE,LEGAL_LINE_2,MILLAGE_CODE,USE_CODE,SITUS_CITY,SITUS_ZIP_CODE,Neighborhood/Division,Subdivision,HOA,HOA Webpage,Property Management,Property Management Wegpage
47413606,1,PARKLAND CENTER 153-22 B,"PARCEL ""B""",3012,95,PA,33067,,,,,,
47413607,132,PARKWOOD IX 153-28 B,LOT 4,3012,01,PA,330672453,,,,,,
47413608,251,MAYFAIR AT PARKLAND 155-9 B,LOT 29 BLK 1,3012,01,PA,33067,,,,,,
47413609,89,PARKLAND TERRACES 155-48 B,LOT 2 BLK 22,3012,01,PA,330673317,,,,,,
47413610,1,TERRAMAR III,157-29 B,3012,95,PA,33067,,,,,,
47413612,123,THE LAKES AT PARKLAND,158-28 B,3012,01,PA,33067,,,,,,
47413613,55,CASTLE ROCK A REPLAT,162-8 B,3012,01,PA,330673349,,,,,,
474136AA,56,CARRIAGE HOMES AT TERRAMAR CONDO,UNIT A BLDG 26,3012,04,PA,33067,,,,,,
474136AB,48,CARRIAGE HOMES AT TERRAMAR CONDO,UNIT D BLDG 21,3012,04,PA,33067,,,,,,
474136AC,32,CARRIAGE HOMES AT TERRAMAR CONDO,UNIT C BLDG 3,3012,04,PA,33067,,,,,,
47423101,48,PALM BEACH FARMS 2-53 PB,"TR 52 LESS N 235,LESS E 114.32 &",0012,01,BC,330733511,,,,,,
47423102,45,HILLSBORO PINES SEC A 42-22 B,LOT 15 BLK 3,0012,08,BC,33073,,,,,,
47423103,45,HILLSBORO PINES SEC B 43-20 B,"LOT 21-A,LESS S 40,BLK 8",0012,95,BC,33073,,,,,,
47423104,49,HILLSBORO PINES SEC C 47-2 B,LOT 25 BLK 14,0012,01,BC,33073,,,,,,
47423105,3,HILLSBORO PINES SEC D 87-18 B,LOT 2,0012,01,BC,330733583,,,,,,
47423106,2,APOSTOLIC CHRISTIAN CHURCH PLAT,116-14 B,3212,71,CK,33073,,,,,,
47423107,14,O'DONNELL FARMS PLAT NO1 117-47B,POR OF PAR A DESC AS COMM NE COR,3212,00,CK,33073,,,,,,
47423108,3,WHITTINGTON'S PLAT 119-13 B,PARCEL A,3212,08,CK,33073,,,,,,
47423110,5,TANGLEWOOD PINES 128-47 B,LOT 1 N 220.11,0012,01,BC,330731871,,,,,,
47423111,2,THE ARMENIAN CHURCH PLAT,128-35 B,3212,71,CK,330732725,,,,,,
47423112,11,BILL BLACK'S PLAT 134-39 B,LOT 3,0012,01,BC,33073,,,,,,
47423113,2,COUNTRY CLUB PLACE 138-29 B,"PARCEL ""A""",3212,03,CK,33067,,,,,,
47423114,4,JACKSON HOLE AND HALLS RANCH,138-34 B,0012,01,BC,33073,,,,,,
47423115,1,RENFREW OF FLORIDA SUBDIVISION,141-15 B,3212,78,CK,33073,,,,,,
47423116,2,SCHOOL SITE 0800 145-47 B,PARCEL A,3212,82,CK,33073,,,,,,
47423117,107,ESTATES OF LYONS GATE 148-30 B,LOT 5 BLK A,3212,01,CK,330732712,,,,,,
47423118,1,PUJARA COMMERCIAL CENTER 151-33B,TRACT X R/W DEDICATED PER PLAT,3212,94,CK,33073,,,,,,
47423120,2,THE WILLARD PLAT 155-5 B,PARCEL 1,0012,01,BC,330733513,,,,,,
47423121,2,PUJARA COMMERCIAL CENTER,REPLAT I 160-13 B,3212,82,CK,33073,,,,,,
47423122,4,FOUR ACRE PLAT,163-13 B,0012,01,BC,33073,,,,,,
47423123,6,EMERALD PINES ESTATES 165-45 B,R/W DEDICATED PER PLAT 165-45 B,3212,94,CK,33073,,,,,,
47423124,73,COUNTRY WOODS 168-5 B,LOT 34,3212,01,CK,33073,,,,,,
47423125,36,HIDDEN LAKE 169-14 B,LOT 11,3212,01,CK,33073,,,,,,
47423126,34,SECRET POND PUD 170-70 B,5 FT ADD'L R/W DEDICATED PER,3212,94,CK,33073,,,,,,
47423127,1,PINE CREEK PLAT 174-177 B,RIGHT OF WAY DEDICATED PER PLAT,3212,94,CK,33073,,,,,,
47423128,36,PINE CREEK PLAT 174-177 B,PORTION OF BLOCK A DESC AS:COMM,3212,01,CK,33073,,,,,,
47423129,3,RAIN FOREST ADDITION 176-118 B,LOT 1 LESS S 218 FT,3212,00,CK,33073,,,,,,
47423130,2,M & S OFFICE PLAT 177-30 B,PARCEL A,3212,10,CK,33073,,,,,,
47423131,4,BLAZING TRAIL PLAT 183-563 B,LOT 1,0012,00,BC,33073,,,,,,
47423200,1,32-47-42,POR OF SE1/4 OF SEC 32 DESC AS:,0012,94,BC,33073,,,,,,
47423201,49,PALM BEACH FARMS 2-53 PB,LOT 39 S 15 FT BLK 83 DESC'D AS:,0012,94,BC,33073,,,,,,
47423202,4,ADIOS PLAT 113-24 B,PARCEL A,3212,38,CK,33073,,,,,,
47423204,69,SABAL PINES 138-37 B,LOT 41,3212,01,CK,330733134,,,,,,
47423205,2,DEZENZO PARCELS 143-31 B,PARCEL 1-A,3212,01,CK,330733130,,,,,,
47423206,1,THE NORTH BROWARD SCHOOL PLAT,163-19 B,3212,94,CK,33073,,,,,,
47423208,148,COCONUT POINT 164-27 B,"PART OF PARCEL A DESC'D AS,COMM",3212,01,CK,33073,,,,,,
47423209,4,ESTATES OF COCONUT CREEK,175-110 B,3212,01,CK,33073,,,,,,
47423210,4,CASA PINNELL 178-9 B,ROAD R/W,3212,94,CK,33073,,,,,,
47423211,2,NORTH BROWARD SCHOOL REPLAT,183-103 B,3212,72,CK,33073,,,,,,
47423301,7,SUB OF SEC PB 2-62 33-47-42,"PT OF TRS 36,37,44 & 45 DESC AS,",1112,82,DB,33442,,,,,,
47423302,240,THE VILLAGES OF HILLSBORO SEC 1,101-23 B,1112,01,DB,33442,,,,,,
47423303,272,COQUINA LAKES 105-22 B,"PART OF PARCEL M DESC'D AS,",1112,86,DB,33442,,,,,,
47423304,328,THE VILLAGES OF HILLSBORO,SECTION TWO 108-12 B,1112,01,DB,33442,,,,,,
47423305,194,YORKVILLE 115-18 B,"THAT PT OF PARCEL A DESC AS,",1112,01,DB,33442,,,,,,
47423307,35,BOCA DEER 120-31 B,"POR OF PARCEL A,AS DESC IN OR",1112,09,DB,33442,,,,,,
47423308,174,RIVERGLEN EAST 120-44 B,LOT 18 BLK A,1112,01,DB,33442,,,,,,
47423309,2,COQUINA LAKES II 122-29 B,PARCEL A,1112,95,DB,33442,,,,,,
47423310,193,COQUINA LAKES 105-22 B &,POR PAR F DESC AS COMM SE COR,1112,01,DB,33442,,,,,,
47423400,7,34-47-42,"COMM AT SE COR OF SEC 34,NLY ALG",1112,38,DB,33442,,,,,,
47423401,118,THE VILLAS OF DEER CREEK,104-45 B,1112,01,DB,33442,,,,,,
47423403,21,THE LAKES OF DEER CREEK 108-22 B,PARCEL L-17,1112,09,DB,33442,,,,,,
47423404,165,THE LAKES OF DEER CREEK 108-22 B,PT OF PAR L-9 DESC AS COMM AT,1112,01,DB,33442,,,,,,
47423405,256,THE LAKES OF DEER CREEK 108-22 B,PT OF PAR L-1 DESC AS COMM AT NE,1112,01,DB,33442,,,,,,
474234AA,324,DEER CREEK COUNTRY CLUB,ESTATES 1 CONDO,1112,04,DB,33442,,,,,,
474234AB,104,HIDDEN WOODS OF DEER CREEK CONDO,UNIT 107,1112,04,DB,33442,,,,,,
474234AC,91,LAKES OF DEER CREEK CONDO,UNIT 2 BLDG 33,1112,04,DB,33442,,,,,,
474234AD,106,VILLA D'ESTE CONDO,UNIT 102,1112,04,DB,334428628,,,,,,
47423500,2,BOSTON & FLA ATLANTIC COAST LAND,CO SUB OF 35-47-42 2-63 PB,1112,94,DB,33442,,,,,,
47423501,20,SUB OF SECTION 35-47-42,2-63 PB,1112,03,DB,33442,,,,,,
47423502,42,DEER CREEK GOLF ESTATES SEC 1,95-45 B,1112,01,DB,33442,,,,,,
47423503,34,DEER CREEK GOLF ESTATES,SECTION TWO 97-38 B,1112,01,DB,33442,,,,,,
47423504,61,THE PINES OF DEER CREEK 98-47 B,LOT 3 BLK 2,1112,01,DB,33442,,,,,,
47423505,49,WOODLAKE OF DEER CREEK 100-42 B,LOT 2 BLK 2,1112,01,DB,33442,,,,,,
47423506,128,WILDWOOD OF DEER CREEK 103-12 B,LOT 5 CLUSTER 5,1112,01,DB,334421457,,,,,,
47423507,1,CROWN INDUSTRIAL 116-42 B,PARCEL A TOG WITH POR SE1/4 OF,1112,48,DB,33442,,,,,,
47423508,1,BREWSTER BROWN PLAT 128-33 B,"PARCEL ""A""",1112,48,DB,33442,,,,,,
47423509,1,WELCH PLAT 133-7 B,PARCEL A,1112,40,DB,33442,,,,,,
47423510,1,PINETREE EAST PLAT 135-45 B,PARCEL A,1112,03,DB,33442,,,,,,
47423511,1,U.P.S. PLAT 136-48 B,"PARCEL ""A""",1112,48,DB,33442,,,,,,
47423512,2,THE LAST RUSH PLAT 140-1 B,"PARCEL ""B""",1112,48,DB,33442,,,,,,
47423513,5,PINE TREE POINTE AND LANDINGS,157-7 B,1112,01,DB,33442,,,,,,
474235AA,56,THE HOLLOWS OF DEER CREEK CONDO,UNIT 41,1112,04,DB,33442,,,,,,
474235NT,317,PINE TREE PARK CO-OP,UNIT 426-EB,1112,00,DB,33442,,,,,,
47423600,11,36-47-42,COMM SW COR OF SEC 36 NLY,1112,41,DB,33442,,,,,,
47423601,6,36-47-42,COMM AT SE COR OF SW1/4 OF SE1/4,1112,01,DB,33441,,,,,,
47423602,20,36-47-42,N 100 OF S 242 OF E 167.28 OF,1112,01,DB,33441,,,,,,
47423604,131,COLLEGE PARK 23-42 B,"LOT 18,19 BLK 7",1112,71,DB,33441,,,,,,
47423605,92,COLLEGE PARK ESTATES 41-14 B,STREETS AND AVENUES DEDICATED TO,1112,94,DB,33441,,,,,,
47423606,74,PLEASANT RIDGE SEC ONE 53-46 B,LOT 4 BLK 2,1112,01,DB,33441,,,,,,
47423607,21,PLEASANT RIDGE SEC 2 72-15 B,LOT 3,1112,01,DB,33441,,,,,,
47423608,38,ALWOOD HOMES 73-17 B,LOT 2 BLK 1,1112,01,DB,33441,,,,,,
47423609,64,COMMONWEALTH GARDENS 74-40 B,LOT 2 BLK 4,1112,01,DB,33441,,,,,,
47423610,11,COMMONWEALTH GARDENS TRACT A,76-30 B,1112,01,DB,33441,,,,,,
47423611,17,HILLSBORO PLAZA 102-40 B,A POR OF PAR 2 DESC AS: COMM AT,1112,18,DB,33442,,,,,,
47423612,1,HILLSBORO PLAZA PLAT NO 2,105-10 B,1112,48,DB,33442,,,,,,
47423613,3,THE PALMS OF DEERFIELD 112-14 B,"PORTION OF TRACT ""A"" DESC AS:BEG",1112,03,DB,33441,,,,,,
47423614,18,L.C.L. PLAT 113-49 B,PARCEL G,1112,40,DB,33441,,,,,,
47423615,35,ALBERT GIBSON ESTATES 121-25 B,PARCEL B,1112,94,DB,33441,,,,,,
47423616,3,NORTHEAST FOCAL POINT CAMPUS,148-12 B,1112,94,DB,33441,,,,,,
47423617,1,DEERFIELD NO 1 PLAT 172-75 B,PARCEL A,1112,48,DB,33442,,,,,,
47423618,2,TWICE BLESSED 178-106 B,LOT 1,1112,01,DB,33441,,,,,,
47423619,1,HILLSBORO TECHNOLOGY CENTER,181-126 B,1112,89,DB,33441,,,,,,
47423620,4,HILLSBORO TECHNOLOGY CENTER,181-126 B,1112,18,DB,33441,,,,,,
47433100,39,31-47-43,BEG SE COR LOT 4/2 HILLSBORO HTS,1111,01,DB,33441,,,,,,
47433101,78,DEERFIELD DEV & LAND CO SUB,2-100 PB,1111,08,DB,33441,,,,,,
47433102,30,DEERFIELD DEV & LAND CO SUB IN,4-17 B 31-47-43,1112,00,DB,33441,,,,,,
47433103,15,W L BRACKNELL SUB 5-24 PB,"LOT 17 E 65,20 E 65,21 E 65",1112,10,DB,33441,,,,,,
47433104,9,J R HORNE'S SUB 5-30 PB,"LOT 8,9 LESS W 5 BLK 4",1112,10,DB,33441,,,,,,
47433105,7,COSDEN & BRACKNELL ADD TO,DEERFIELD 6-9 PB,1112,12,DB,33441,,,,,,
47433106,64,31-47-43,N 77.55 OF S 90 OF W 65.45 OF E,1112,00,DB,33441,,,,,,
47433107,29,HILLSBORO HEIGHTS 28-38 B,"LOT 1,2 BLK 1",1111,08,DB,33441,,,,,,
47433108,43,DEERFIELD BEACH ESTATES SEC A,39-14 B,1111,01,DB,33441,,,,,,
47433109,33,TWIN OAKS 41-43 B,LOT 2,1111,01,DB,33441,,,,,,
47433110,26,TWIN OAKS FIRST ADD 42-15 B,"A POR OF PARCEL ""A"" CANAL RIGHT",1111,95,DB,33441,,,,,,
47433111,2,F A BARRETTS SUB AMEN PLAT 7-1 B,LOTS 5 TO 20 BLK A LOTS 5 TO 20,1111,76,DB,33441,,,,,,
47433112,33,HILLSBORO RIVER ESTATES 52-15 B,LOT 18 BLK 1,1112,01,DB,33441,,,,,,
47433113,11,HILLSBORO RIVER ESTATES,ADD 58-14 B,1112,01,DB,33441,,,,,,
47433114,18,RIVERVIEW TERRACE 59-34 B,LOT 8 BLK 2,1112,01,DB,33441,,,,,,
47433115,7,RIVERVIEW TERRACE REPLAT 60-40 B,LOT 1 BLK 1,1112,01,DB,33441,,,,,,
47433117,9,RIVERVIEW TERRACE 2ND SEC,64-22 B,1112,01,DB,33441,,,,,,
47433118,2,NORTHWEST PARK 107-28 B,THOROUGHFARES DEDICATED TO,1112,94,DB,33441,,,,,,
47433119,1,FOUNTAIN VIEW,ON THE WATER 137-10 B,1111,20,DB,33441,,,,,,
47433120,3,DOWNTOWN DEERFIELD PLAT 147-45 B,PARCEL A LESS POR TO DOT DESC IN,1111,10,DB,33441,,,,,,
47433121,2,ANTIBES DEVELOPMENT PLAT,150-11 B,1112,10,DB,33441,,,,,,
47433122,2,ANTIBES DEVELOPMENT PLAT II,150-26 B,1112,10,DB,33441,,,,,,
47433123,6,DEERFIELD HOUSING PLAT I,154-34 B,1112,01,DB,334413944,,,,,,
47433124,2,B T H C PLAT 157-18 B,PARCEL A,1112,00,DB,33441,,,,,,
47433125,2,PENNELL FAMILY PLAT,160-23 B,1112,10,DB,33441,,,,,,
47433126,1,NORTH BROWARD MARINA,161-43 B,1111,20,DB,33441,,,,,,
47433127,20,JOSEPH AND BLANCHE ELY PLAT,170-25 B,1112,00,DB,33441,,,,,,
47433128,7,PENINSULA 171-98 B,POR OF SUBMRGD LANDS TRACT DESC,1111,00,DB,33441,,,,,,
47433129,3,DEERFIELD BEACH SEVENTH DAY,ADVENTIST CHURCH 172-3 B,1112,71,DB,33441,,,,,,
47433130,3,BAKER PLAT 176-192 B,LOT 1,1112,00,DB,33441,,,,,,
474331AA,118,RIVER HOUSE TOWERS CONDO,UNIT 621,1111,04,DB,33441,,,,,,
474331AB,75,RIVER HOUSE GARDENS CONDO,UNIT 122 BLDG N,1111,04,DB,33441,,,,,,
474331AC,48,RIVER HOUSE TERRACE CONDO,UNIT 107 BLDG N,1111,04,DB,33441,,,,,,
48350700,1,48-35,"ALL SEC 7 TO 15,22 TO 27,34",0012,82,BC,33327,,,,,,
48351600,1,16-48-35,ALL,0012,82,BC,33327,,,,,,
48351700,1,48-35,"ALL SEC 17,18",0012,82,BC,33327,,,,,,
48351900,1,48-35,"ALL SEC 19,20,21,28 TO 33",0012,82,BC,33327,,,,,,
48360700,2,48-36,ANY PT SEC 7 LYING E OF MIAMI,0012,82,BC,0,,,,,,
48370100,1,48-37,ALL SECTIONS 1 TO 36,0012,82,BC,0,,,,,,
48380100,1,48-38,ALL SEC 1 TO 36 LESS STATE,0012,96,BC,0,,,,,,
48390101,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 1-48-39,0012,96,BC,0,,,,,,
48390200,1,2-48-39,ALL,0012,96,BC,0,,,,,,
48390301,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 3-48-39,0012,96,BC,0,,,,,,
48390400,1,4-48-39,ALL,0012,96,BC,0,,,,,,
48390501,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 5-48-39,0012,96,BC,0,,,,,,
48390600,1,6-48-39,ALL,0012,96,BC,0,,,,,,
48390701,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 7-48-39,0012,96,BC,0,,,,,,
48390800,1,8-48-39,ALL,0012,96,BC,0,,,,,,
48390901,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 9-48-39,0012,96,BC,0,,,,,,
48391000,1,10-48-39,ALL,0012,96,BC,0,,,,,,
48391101,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 11-48-39,0012,96,BC,0,,,,,,
48391200,1,12-48-39,ALL,0012,96,BC,0,,,,,,
48391301,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 13-48-39,0012,96,BC,0,,,,,,
48391400,1,14-48-39,ALL,0012,96,BC,0,,,,,,
48391501,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 15-48-39,0012,96,BC,0,,,,,,
48391600,1,16-48-39,ALL,0012,96,BC,0,,,,,,
48391701,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 17-48-39,0012,96,BC,0,,,,,,
48391800,1,18-48-39,ALL LESS ST RD R/W & CANAL R/W,0012,96,BC,0,,,,,,
48391901,1,FLA FRUIT LANDS CO SUB NO 2,1-102 PB 19-48-39,0012,96,BC,0,,,,,,
48392000,1,20-48-39,ALL LESS ST RD R/W & CANAL R/W,0012,96,BC,0,,,,,,
